"","cct","Esp","Mat","NEsp","NMat","PromedioGeneral"
"276","01DTV0178H",478.528766208225,539.931903245714,31,31,509.23033472697
"277","01DTV0183T",486.091195508402,550.62068448304,40,40,518.355939995721
"278","01KTV0017E",435.414714389377,471.775487263997,9,9,453.595100826687
"279","01KTV0020S",480.647552490234,514.605851915148,8,8,497.626702202691
"280","01KTV0008X",408.75777616955,493.086916968936,15,15,450.922346569243
"281","01KTV0016F",430.197572496202,492.445894029405,7,7,461.321733262803
"282","01KTV0006Z",169.085848490397,198.655309041341,4,4,183.870578765869
"283","01KTV0004A",499.519324408637,611.530917697483,7,7,555.52512105306
"284","01KTV0022Q",299.205115000407,264.049138387044,9,9,281.627126693725
"285","01KTV0007Y",380.055130004883,440.086242675781,7,7,410.070686340332
"286","01KTV0009W",228.278023613824,275.224785698785,9,9,251.751404656304
"287","01KTV0019C",392.216153422361,438.955027294664,28,28,415.585590358512
"288","01PST0006G",618.915408343042,632.840882623684,63,63,625.878145483363
"289","01PES0024D",573.853550674576,607.709168415641,207,207,590.781359545108
"290","01DTV0013Z",539.59071626525,611.987821975192,70,70,575.789269120221
"291","01DST0012M",493.016357073302,510.83501174345,473,473,501.925684408376
"292","01DST0017H",505.781586728354,508.927345581082,101,101,507.354466154718
"293","01DTV0043T",506.051650511167,569.720395618153,182,182,537.88602306466
"294","01DTV0171O",538.183953244758,751.582677760269,37,37,644.883315502513
"295","01DES0005K",482.33868758288,497.742639325937,286,286,490.040663454409
"296","01KTV0011K",279.006813897027,305.952487521701,4,4,292.479650709364
"297","01KTV0021R",370.601053873698,404.284225463867,4,4,387.442639668782
"298","01KTV0018D",487.989237467448,531.907363891602,5,5,509.948300679525
"299","02DES0001N",470.540386469147,491.346738948987,1071,1071,480.943562709067
"300","02DES0005J",472.559807233557,468.50379013054,404,404,470.531798682048
"301","02DES0006I",476.087072172026,489.526946122515,1069,1069,482.80700914727
"302","02DES0025X",455.834622209792,459.829946410206,543,543,457.832284309999
"303","02DES0031H",478.307742076734,491.626060871351,385,385,484.966901474043
"304","02DES0044L",427.162899065586,459.351985830235,312,312,443.25744244791
"305","02DES0045K",408.810902297988,451.426760192211,116,116,430.118831245099
"306","02DES0049G",439.56061033086,439.614138994883,137,137,439.587374662872
"307","02DST0007Z",407.856995638679,432.972144347546,108,108,420.414569993113
"308","02DST0008Z",440.935670880783,469.40317749802,282,282,455.169424189402
"309","02DST0010N",473.760731588841,505.286631016188,562,562,489.523681302514
"310","02DST0011M",452.899207886443,462.661349769505,133,133,457.780278827974
"311","02DST0014J",456.782485690805,459.066850029808,128,128,457.924667860306
"312","02DST0019E",473.64224478209,482.934964085444,935,935,478.288604433767
"313","02DST0020U",429.049707110226,458.000082453712,541,541,443.524894781969
"314","02DST0022S",521.112340719506,527.858931361978,1462,1462,524.485636040742
"315","02DST0024Q",462.681031507495,466.816746165359,224,224,464.748888836427
"316","02DST0025P",480.840437061881,513.622224390354,1100,1100,497.231330726117
"317","02DST0029L",467.548318159929,482.745669314791,1026,1026,475.14699373736
"318","02DST0036V",474.427566081095,460.859867711605,190,190,467.64371689635
"319","02DST0039S",450.369269335443,465.675659642952,96,96,458.022464489197
"320","02DST0048Z",460.624312737719,475.053323238087,88,88,467.838817987903
"321","02DTV0001T",377.476157972548,430.828106011285,14,14,404.152131991916
"322","02DTV0002S",426.518231122922,418.611629388271,17,17,422.564930255596
"323","02DTV0004Q",273.890596177843,319.421495225694,7,7,296.656045701769
"324","02DTV0006O",508.499031801577,530.627544600875,20,20,519.563288201226
"325","02DTV0007N",326.364272814407,338.952140217277,20,20,332.658206515842
"326","02DTV0008M",252.569849650065,258.580052693685,3,3,255.574951171875
"327","02DTV0009L",484.682022094727,510.537600199382,6,6,497.609811147055
"328","02DTV0010A",441.023102896554,443.179977780297,15,15,442.101540338425
"329","02DTV0011Z",449.557209923154,501.565931047712,18,18,475.561570485433
"330","02DTV0012Z",536.438980102539,548.601191202799,5,5,542.520085652669
"331","02DTV0015W",474.844817097982,471.21441192627,11,11,473.029614512126
"332","02DTV0016V",346.108640882704,431.283509572347,14,14,388.696075227526
"333","02DTV0017U",395.571514638265,408.739645894368,11,11,402.155580266317
"334","02DTV0018T",431.074508666992,449.996164957682,4,4,440.535336812337
"335","02EES0001M",477.840817241904,507.942047065318,166,166,492.891432153611
"336","02EES0003K",433.77259489945,438.868308372216,311,311,436.320451635833
"337","02EES0004J",488.238695380475,501.586182383618,254,254,494.912438882047
"338","02EES0019L",457.102077842199,444.07300125942,238,238,450.587539550809
"339","02EES0026V",426.000407012433,460.02346463718,281,281,443.011935824807
"340","02EES0029S",472.238601035698,459.345647386187,269,269,465.792124210943
"341","02EES0045J",467.716111469177,457.976544778325,126,126,462.846328123751
"342","02EES0049F",470.632014552672,478.000231609922,104,104,474.316123081297
"343","02EES0050V",467.203247889787,467.18484597525,332,332,467.194046932519
"344","02EES0062Z",459.362604562661,469.513912121855,1149,1149,464.438258342258
"345","02EES0063Z",510.645858545538,534.610212356588,810,810,522.628035451063
"346","02EES0068U",445.795099627235,474.47140283861,97,97,460.133251232922
"347","02EES0077B",509.6778471506,521.150332629205,422,422,515.414089889902
"348","02EES0089G",470.619978530442,499.496371421957,172,172,485.058174976199
"349","02EES0092U",432.971212293125,453.483081723297,282,282,443.227147008211
"350","02EES0134C",451.864078028128,477.020907336851,399,399,464.44249268249
"351","02EES0146H",476.425862845538,481.850482225398,582,582,479.138172535468
