"","cct","promedioEsp","promedioMat","promedioGeneral"
"432","03DCM0001U1",513.99,434.87,474.43
"433","03DCM0002T1",466.81,318.35,392.58
"434","03DCM0004R1",520.97,441.88,481.425
"435","03DCM0031O1",478.13,343.87,411
"436","03DCM0031O2",472.27,317.01,394.64
"437","03DCT0001D1",546.16,538.76,542.46
"438","03DCT0003B1",458.73,361.77,410.25
"439","03DCT0003B2",458.83,335.74,397.285
"440","03DCT0230X1",590.42,551.75,571.085
"441","03DCT0230X2",501.09,364.24,432.665
"442","03DCT0232V1",513.19,415.05,464.12
"443","03DCT0232V2",408.78,322.2,365.49
"444","03DCT0242B1",536.51,380.45,458.48
"445","03DES0013Z2",539.89,432.44,486.165
"446","03DPT0001H1",464.29,355.91,410.1
"447","03DPT0001H2",493.8,392.56,443.18
"448","03DPT0002G1",567.53,473.04,520.285
"449","03DPT0002G2",532.53,388.29,460.41
"450","03DTA0027N1",475.98,394.79,435.385
"451","03DTA0027N11",384.93,298.37,341.65
"452","03ECB0001N1",559.78,452.83,506.305
"453","03ECB0001N2",447.78,337.68,392.73
"454","03ECB0002M1",589.69,452.63,521.16
"455","03ECB0002M2",521.25,367.31,444.28
"456","03ECB0003L1",539.01,407.57,473.29
"457","03ECB0003L2",471.41,379.43,425.42
"458","03ECB0004K1",585.9,476.29,531.095
"459","03ECB0004K2",537.29,443.7,490.495
"460","03ECB0005J1",547.32,453.84,500.58
"461","03ECB0006I2",401.17,314.4,357.785
"462","03ECB0007H2",593.73,492.24,542.985
"463","03ECB0008G1",506.79,638.26,572.525
"464","03ECB0009F2",514.38,314.41,414.395
"465","03EMS0001U2",491.02,460.77,475.895
"466","03EMS0002T2",447.76,314.4,381.08
"467","03EMS0003S2",525.5,333.48,429.49
"468","03EMS0005Q2",478.35,330.57,404.46
"469","03EMS0006P1",562.74,461.56,512.15
"470","03EMS0007O2",462.79,410.27,436.53
"471","03EMS0008N2",513.82,380.53,447.175
"472","03EMS0011A2",611.21,366.75,488.98
"473","03EMS0014Y2",480.84,343.97,412.405
"474","03EMS0016W2",495.39,428.86,462.125
"475","03EMS0017V2",490.32,317.76,404.04
"476","03EMS9999B1",555.66,491.5,523.58
"477","03ETC0001C1",434.6,339.6,387.1
"478","03ETC0002B1",519.48,420.6,470.04
"479","03ETC0003A1",540.49,354.49,447.49
"480","03ETC0004Z1",458.61,279.43,369.02
"481","03ETC0004Z2",392.72,269.2,330.96
"482","03ETC0005Z1",495.89,321.35,408.62
"483","03ETC0005Z2",506.77,328.15,417.46
"484","03ETC0006Y1",504.72,388.54,446.63
"485","03ETC0007X1",462.9,312.54,387.72
"486","03MSU0013Q1",540.78,363.11,451.945
"487","03PBC000601",573.74,547.45,560.595
"488","03PBH0003M1",491.05,403.77,447.41
"489","03PBH0003M2",422.33,351.27,386.8
"490","03PBH3136X1",659.33,555.78,607.555
"491","03PBH3393M1",594.94,528.37,561.655
"492","03PBH3431Z1",526.55,439.24,482.895
"493","03PBH3520S1",653.41,536.85,595.13
"494","03PBH3529J1",614.11,537,575.555
"495","03PCB0001T1",446.91,361.81,404.36
"496","03PCB0003R1",674.17,652,663.085
"497","03PCB0004Q1",533.38,333.5,433.44
"498","03PCB0005P1",549.31,485.9,517.605
"499","03PCT0002H1",445.74,277.26,361.5
"500","03PCT0003G1",384.78,285.56,335.17
"501","03PCT0005E1",504.89,314.36,409.625
"502","03PCT0005E2",200.17,200,200.085
"503","03SBC2061S1",526.16,408.03,467.095
"504","03SBC2061S2",387.62,315.39,351.505
"505","03SBC2061S3",418.36,260.64,339.5
"506","03SBC2134U1",465.94,371.45,418.695
"507","04DBP0001R1",474.09,373.49,423.79
"508","04DCM0001T2",515.19,391.54,453.365
"509","04DCM0002S1",437.82,298.38,368.1
"510","04DCT0001C1",402.73,312.07,357.4
"511","04DCT0021Q1",596.3,566.07,581.185
"512","04DCT0021Q2",540.99,425.45,483.22
"513","04DCT0022P1",481.9,332.86,407.38
"514","04DCT0022P2",397.46,277.03,337.245
"515","04DCT0427G1",426.91,302.61,364.76
"516","04DPT0001G1",481.76,340.94,411.35
"517","04DPT0001G2",422.44,289,355.72
"518","04DPT0002F1",481.03,340.57,410.8
"519","04DPT0002F2",527.08,504.95,516.015
"520","04DPT0003E1",544.13,458.85,501.49
"521","04DPT0003E2",515.05,429.97,472.51
"522","04DTA0015H1",483.16,363.36,423.26
"523","04DTA0015H11",381.44,253.4,317.42
"524","04DTA0062S1",430.14,329.28,379.71
"525","04DTA0169K1",460.25,359.71,409.98
"526","04DTA0169K11",402.32,311.94,357.13
"527","04DTA0169K21",537.12,418.78,477.95
"528","04EBH0013M11",457.93,253.4,355.665
"529","04EBH0013M3",526.06,344.54,435.3
"530","04EBH0016J1",499.37,334.48,416.925
"531","04EBH0022U2",441.21,299.24,370.225
"532","04EBH0023T3",491.09,333.45,412.27
"533","04ECB0001M1",611.64,504.54,558.09
"534","04ECB0001M2",548.87,456.6,502.735
"535","04ECB0002L1",546.77,481.83,514.3
"536","04ECB0003K1",585.61,531.53,558.57
"537","04ECB0003K2",492.65,361.43,427.04
"538","04ECB0004J1",551.76,484.41,518.085
"539","04ECB0005I1",554.92,439.71,497.315
"540","04ECB0006H1",535.99,392.48,464.235
"541","04ECB0007G1",536.98,407.2,472.09
"542","04ECB0007G11",525.62,459.03,492.325
"543","04ECB0008F1",551.6,485.03,518.315
"544","04ECB0008F2",549.15,607.97,578.56
"545","04ECB0009E1",527.42,444.65,486.035
"546","04ECB0010U1",591.03,378.9,484.965
"547","04ECB0011T1",581.91,537.54,559.725
"548","04ECB0013R1",573.64,447.22,510.43
"549","04ECB0013R2",571.63,435.42,503.525
"550","04ECB0014Q1",472.29,371.85,422.07
"551","04ECB0015P1",489.62,346.49,418.055
"552","04ECB0016O1",572.41,444.23,508.32
"553","04ECT0001B1",448.53,320.39,384.46
"554","04ECT0001B2",497.58,374.54,436.06
"555","04EMS0001T1",574.7,625.51,600.105
"556","04EMS0002S1",591.73,504.34,548.035
"557","04EMS0003R2",472.91,369.88,421.395
"558","04EMS0004Q1",478.57,419.81,449.19
"559","04EMS0005P1",531.97,419.42,475.695
"560","04EMS0006O1",575.86,511.27,543.565
"561","04EMS0007N1",402.76,386.78,394.77
"562","04EMS0008M1",484.06,445.37,464.715
"563","04EMS0009L1",644.5,733.5,689
"564","04EMS0010A1",424.74,324.12,374.43
"565","04EMS0011Z1",512.2,489.53,500.865
"566","04EMS0012Z1",483.5,400.16,441.83
"567","04EMS0013Y1",466.94,461.62,464.28
"568","04EMS0014X1",499.15,483.02,491.085
"569","04EMS0015W1",434.39,421.17,427.78
"570","04EMS0016V1",540.47,386.11,463.29
"571","04EMS0017U1",557.66,454.8,506.23
"572","04EMS0018T1",507.86,418.96,463.41
"573","04EMS0019S1",488.12,429.48,458.8
"574","04ETC0001B1",538.33,427.78,483.055
"575","04ETC0002A1",500.59,343.42,422.005
"576","04ETC0003Z1",475.34,344.81,410.075
"577","04ETC0004Z1",510.8,309.42,410.11
